# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,009410,52,0.517,0.166,-0.029,0.136,상
KOSPI,009415,32,0.069,-0.265,-0.096,0.006,
KOSPI,009420,52,0.182,0.142,0.111,0.058,중
KOSPI,009440,0,,,,,
KOSPI,009450,52,0.063,0.253,-0.067,-0.131,중
KOSPI,009460,49,-0.218,0.107,-0.228,0.038,하
KOSPI,009470,52,-0.163,0.334,0.136,0.066,하
KOSPI,009540,52,0.176,-0.378,-0.033,-0.084,중
KOSPI,009580,52,-0.439,0.3,0.064,0.212,하
KOSPI,009680,52,0.498,0.054,0.133,-0.08,상
KOSPI,009770,52,0.169,-0.069,-0.006,-0.109,중
KOSPI,009810,46,-0.884,0.096,0.373,0.032,하
KOSPI,009830,52,0.575,-0.066,0.258,-0.038,상
KOSPI,009835,52,0.18,-0.024,0.017,0.074,중
KOSPI,009900,52,-0.196,0.15,-0.236,0.127,하
KOSPI,009970,52,-0.012,-0.004,-0.041,0.135,하
KOSPI,010040,52,0.26,-0.039,0.144,0.051,중
KOSPI,010060,52,-0.338,0.156,-0.011,-0.117,하
KOSPI,010100,52,-0.011,-0.095,0.172,-0.048,하
KOSPI,010120,52,0.219,-0.058,-0.043,-0.055,중
KOSPI,010130,52,-0.006,-0.183,0.026,0.012,중
KOSPI,010140,52,0.398,0.157,0.031,-0.035,상
KOSPI,010400,52,0.343,0.052,-0.03,-0.028,상
KOSPI,010420,7,0.17,0.254,0.433,-0.134,
KOSPI,010580,52,-0.229,0.037,0.094,-0.206,하
KOSPI,010600,2,1.0,,,,
KOSPI,010620,19,0.266,0.279,-0.296,-0.106,
KOSPI,010640,52,0.138,-0.076,0.111,-0.291,중
KOSPI,010660,52,0.191,0.03,-0.022,-0.175,중
KOSPI,010690,52,0.162,-0.126,0.058,-0.049,중
KOSPI,010770,52,0.334,0.232,-0.165,-0.168,상
KOSPI,010780,52,0.123,0.139,-0.283,0.0,중
KOSPI,010820,52,0.001,0.257,0.048,-0.333,중
KOSPI,010950,52,-0.234,0.263,-0.021,-0.004,하
KOSPI,010955,52,0.344,-0.0,0.066,-0.06,상
KOSPI,010960,52,0.256,-0.474,0.214,-0.206,중
KOSPI,011000,49,0.37,0.171,-0.074,-0.294,상
KOSPI,011070,52,-0.352,-0.125,-0.272,-0.004,하
KOSPI,011090,49,-0.714,0.211,0.204,-0.025,하
KOSPI,011150,52,0.327,0.044,-0.038,0.009,상
KOSPI,011155,20,0.155,-0.087,-0.201,-0.06,
KOSPI,011170,52,0.498,0.085,-0.085,0.121,상
KOSPI,011200,52,0.427,0.065,0.003,0.182,상
KOSPI,011210,52,0.191,0.056,-0.255,-0.167,중
KOSPI,011230,52,-0.154,0.177,0.087,0.263,하
KOSPI,011280,52,-0.053,0.184,-0.307,-0.102,하
KOSPI,011300,50,-0.104,0.054,-0.088,-0.163,하
KOSPI,011330,50,-0.317,0.285,0.084,0.107,하
KOSPI,011390,52,0.28,0.041,-0.056,-0.235,중
KOSPI,011420,52,0.478,-0.045,-0.141,0.087,상
KOSPI,011500,52,-0.161,-0.089,-0.297,0.042,하
